va_id,parent_ed_2019,majority_ed,minority_ed,is_swing,va_ndp,va_ucp,va_other,eg_contrib_majority,eg_contrib_minority,delta_eg,region
Calgary-Fish Creek|047,Calgary-Fish Creek,Calgary-Fish Creek,Calgary-Fish Creek,0,87.800000,127.600000,5.400000,0.000079,0.000081,0.000001,Calgary
Airdrie-East|061,Airdrie-East,Airdrie-East,Calgary-Airdrie,1,63.142857,130.142857,4.428571,0.000031,0.000055,0.000024,Rest of Alberta
Edmonton-Whitemud|043,Edmonton-Whitemud,Edmonton-Whitemud,Edmonton-Whitemud,0,107.250000,73.750000,4.750000,-0.000067,-0.000067,0.000000,Edmonton
Edmonton-Beverly-Clareview|021,Edmonton-Beverly-Clareview,Edmonton-Beverly-Clareview,Edmonton-Beverly-Clareview,0,77.666667,45.166667,5.833333,-0.000038,-0.000038,0.000000,Edmonton
Calgary-Klein|036,Calgary-Klein,Calgary-Klein,Calgary-McCall-Bhullar,1,105.000000,134.500000,9.000000,-0.000146,-0.000133,0.000013,Calgary
Morinville-St. Albert|014,Morinville-St. Albert,St. Albert-Sturgeon,St Albert-Sturgeon,1,80.666667,122.666667,11.666667,0.000065,0.000068,0.000003,Rest of Alberta
Calgary-Bhullar-McCall|035,Calgary-Bhullar-McCall,Calgary-Bhullar-McCall,Calgary-McCall-Bhullar,1,105.200000,84.600000,0.000000,-0.000077,-0.000077,-0.000000,Calgary
Cardston-Siksika|039,Cardston-Siksika,Taber-Cardston,Lethbridge-Cardston,1,68.000000,2.500000,0.500000,0.000075,0.000075,0.000000,Rest of Alberta
Peace River|015,Peace River,Peace River,Peace River,0,56.750000,177.250000,11.500000,0.000002,0.000002,0.000000,Rest of Alberta
Edmonton-West Henday|039,Edmonton-West Henday,Edmonton-West Henday,Edmonton-West Henday,0,124.166667,104.833333,8.000000,-0.000099,-0.000099,0.000000,Edmonton
West Yellowhead|009,West Yellowhead,West Yellowhead,West Yellowhead,0,212.333333,61.333333,0.000000,0.000213,0.000214,0.000001,Rest of Alberta
Camrose|040,Camrose,Camrose,Camrose,0,46.666667,129.666667,20.333333,0.000007,0.000006,-0.000001,Rest of Alberta
Edmonton-West Henday|016,Edmonton-West Henday,Edmonton-West Henday,Edmonton-Spruce Grove,1,161.200000,151.600000,6.000000,-0.000146,0.000156,0.000302,Edmonton
Calgary-North|036,Calgary-North,Calgary-Nose Creek,Calgary-North,1,116.714286,122.428571,0.000000,0.000126,0.000124,-0.000002,Calgary
Calgary-East|065,Calgary-East,Calgary-East,Calgary-Cross,1,67.800000,76.600000,9.000000,0.000069,0.000070,0.000001,Calgary
Athabasca-Barrhead-Westlock|020,Athabasca-Barrhead-Westlock,Barrhead-Westlock-Athabasca,Barrhead-Westlock-Athabasca,0,35.500000,156.500000,0.000000,-0.000023,-0.000021,0.000001,Rest of Alberta
Sherwood Park|023,Sherwood Park,Sherwood Park,Sherwood Park,0,114.250000,130.500000,15.250000,-0.000145,0.000127,0.000272,Rest of Alberta
Sherwood Park|033,Sherwood Park,Sherwood Park,Sherwood Park,0,123.000000,97.000000,13.000000,-0.000108,0.000137,0.000245,Rest of Alberta
Sherwood Park|032,Sherwood Park,Sherwood Park,Sherwood Park,0,123.000000,97.000000,13.000000,-0.000108,0.000137,0.000245,Rest of Alberta
Taber-Warner|053,Taber-Warner,Taber-Cardston,Medicine Hat-Cypress,1,7.000000,156.333333,10.000000,-0.000065,-0.000037,0.000028,Rest of Alberta
Brooks-Medicine Hat|023,Brooks-Medicine Hat,Medicine Hat-Brooks,Medicine Hat-Brooks,0,28.700000,92.900000,14.000000,0.000001,0.000001,0.000000,Rest of Alberta
