map,name,area_km2,perimeter_km,polsby_popper,pp_percentile_rank
2019_enacted,Lacombe-Clearwater,3666.0908,319.6835,0.450788,74.16
2019_enacted,Leduc-Devon,142.3404,63.9764,0.437017,70.79
2019_enacted,Lesser Slave Lake,69566.0904,1195.9141,0.611234,96.63
2019_enacted,Lethbridge-East,49.6279,40.0315,0.389164,57.30
2019_enacted,Lethbridge-West,74.2565,49.9781,0.373581,49.44
2019_enacted,Livingstone-Macleod,14146.1323,776.5583,0.294781,32.58
2019_enacted,Lloydminster-Wainwright,10090.9743,528.3280,0.454293,75.28
2019_enacted,Medicine Hat-Brooks,13741.6373,753.6071,0.304059,37.08
2019_enacted,Medicine Hat-Cypress,6113.4689,411.1505,0.454460,76.40
2019_enacted,Mountain View-Kneehill,10479.3492,586.3089,0.383082,53.93
2019_enacted,Okotoks-Diamond Valley,628.6346,125.5409,0.501231,84.27
2019_enacted,Peace River,109221.9836,1693.9776,0.478305,80.90
2019_enacted,Red Deer-North,71.8068,46.4351,0.418488,67.42
2019_enacted,Red Deer-South,35.0414,28.2705,0.550968,94.38
2019_enacted,Sherwood Park,62.7420,45.1408,0.386927,56.18
2019_enacted,Spruce Grove,68.4733,45.3656,0.418098,65.17
2019_enacted,St. Albert,38.8621,35.8589,0.379789,52.81
2019_enacted,St. Albert-Sturgeon,1376.4748,186.5877,0.496835,83.15
2019_enacted,Stony Plain-Drayton Valley,6153.8269,531.9610,0.273272,29.21
2019_enacted,Strathcona-Sherwood Park,614.0419,137.7074,0.406905,64.04
2019_enacted,Sylvan Lake-Innisfail,3605.1872,416.1294,0.261626,22.47
2019_enacted,Taber-Cardston,14980.3118,653.8335,0.440348,73.03
2019_enacted,West Yellowhead,47117.0061,1653.2691,0.216621,15.73
2019_enacted,Wetaskiwin-Ponoka-Maskwacis,4208.2932,360.8254,0.406183,62.92
majority_2026,Calgary-Acadia,73.4535,46.5147,0.426621,66.29
majority_2026,Calgary-Beddington,26.4245,36.6135,0.247704,33.71
majority_2026,Calgary-Bhullar-McCall,57.6420,37.3906,0.518113,91.01
majority_2026,Calgary-Bow,25.8465,43.3779,0.172613,25.84
majority_2026,Calgary-Buffalo,3.6176,20.3130,0.110176,21.35
majority_2026,Calgary-Confluence,6.4952,19.4443,0.215882,28.09
majority_2026,Calgary-Cross,14.1448,19.1787,0.483243,83.15
majority_2026,Calgary-Currie,0.0000,0.0320,0.000003,6.74
majority_2026,Calgary-East,0.0002,3.9280,0.000188,13.48
majority_2026,Calgary-Edgemont,25.5237,24.9944,0.513415,88.76
majority_2026,Calgary-Elbow,26.0097,26.4163,0.468385,79.78
majority_2026,Calgary-Falconridge-Conrich,141.9479,62.1635,0.461602,76.40
majority_2026,Calgary-Fish Creek,0.0000,0.0332,0.000000,4.49
majority_2026,Calgary-Glenmore-Tsuut'ina,112.3973,75.0070,0.251051,34.83
majority_2026,Calgary-Hays,0.0000,0.0155,0.000014,8.99
majority_2026,Calgary-Klein,0.0000,0.0075,0.000000,5.62
majority_2026,Calgary-Lougheed,53.1920,36.2090,0.509829,87.64
majority_2026,Calgary-McKenzie,14.4656,25.5563,0.278324,43.82
majority_2026,Calgary-Mountain View,17.3671,26.7305,0.305437,48.31
majority_2026,Calgary-North,0.0015,0.2913,0.222821,30.34
majority_2026,Calgary-North East,29.0120,43.0286,0.196912,26.97
majority_2026,Calgary-North West,0.0000,2.1008,0.000110,12.36
