map,ed_name,commission_pop,provincial_quota,deviation_pct,lower_band_pct,upper_band_pct,s15_invoked,s15_criteria_met,s15_verdict,classification,flag,notes
minority_2026,Edmonton-Ellerslie,59760,54930.0,8.79,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Edmonton-Enoch-Devon,55043,54930.0,0.21,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Edmonton-Glenora-Riverview,59708,54930.0,8.7,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Edmonton-Gold Bar,54981,54930.0,0.09,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Edmonton-Highlands-Norwood,51806,54930.0,-5.69,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Edmonton-Manning,56901,54930.0,3.59,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Edmonton-McClung,61859,54930.0,12.61,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Edmonton-Meadows,56880,54930.0,3.55,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Edmonton-Mill Woods,59673,54930.0,8.63,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Edmonton-North West,61226,54930.0,11.46,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Edmonton-Rutherford,58082,54930.0,5.74,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Edmonton-South,60775,54930.0,10.64,-25.0,25.0,N,,,COMPLIANT,,
