va_id,parent_ed_2019,va_number,majority_hybrid_candidate,minority_hybrid_candidate
Drayton Valley-Devon|048,Drayton Valley-Devon,048,,Edmonton-Enoch-Devon
Airdrie-Cochrane|050,Airdrie-Cochrane,050,Airdrie-West,Calgary-Airdrie;Calgary-Nolan Hill-Cochrane
Vermilion-Lloydminster-Wainwright|043,Vermilion-Lloydminster-Wainwright,043,Lloydminster-Wainwright,
Morinville-St. Albert|037,Morinville-St. Albert,037,St. Albert-Sturgeon,St. Albert-Sturgeon
Calgary-Bow|030,Calgary-Bow,030,,Calgary-Bow-Springbank
Lethbridge-West|030,Lethbridge-West,030,,Lethbridge-Fort MacLeod-Crowsnest Pass
Fort Saskatchewan-Vegreville|026,Fort Saskatchewan-Vegreville,026,,Lethbridge-Fort MacLeod-Crowsnest Pass
Leduc-Beaumont|017,Leduc-Beaumont,017,Leduc-Devon,Edmonton-Beaumont
Vermilion-Lloydminster-Wainwright|021,Vermilion-Lloydminster-Wainwright,021,Lloydminster-Wainwright,
Calgary-Foothills|022,Calgary-Foothills,022,,Calgary-Foothills-Airdrie West
Spruce Grove-Stony Plain|024,Spruce Grove-Stony Plain,024,Spruce Grove,
Spruce Grove-Stony Plain|011,Spruce Grove-Stony Plain,011,Spruce Grove,
Cypress-Medicine Hat|039,Cypress-Medicine Hat,039,Medicine Hat-Cypress,
Airdrie-Cochrane|024,Airdrie-Cochrane,024,Airdrie-West,Calgary-Airdrie;Calgary-Nolan Hill-Cochrane
Drayton Valley-Devon|007,Drayton Valley-Devon,007,,Edmonton-Enoch-Devon
Calgary-Peigan|035,Calgary-Peigan,035,,Calgary-Peigan-Chestermere
Calgary-Peigan|034,Calgary-Peigan,034,,Calgary-Peigan-Chestermere
Leduc-Beaumont|010,Leduc-Beaumont,010,Leduc-Devon,Edmonton-Beaumont
Drayton Valley-Devon|003,Drayton Valley-Devon,003,,Edmonton-Enoch-Devon
Drayton Valley-Devon|042,Drayton Valley-Devon,042,,Edmonton-Enoch-Devon
Airdrie-Cochrane|047,Airdrie-Cochrane,047,Airdrie-West,Calgary-Airdrie;Calgary-Nolan Hill-Cochrane
Airdrie-Cochrane|046,Airdrie-Cochrane,046,Airdrie-West,Calgary-Airdrie;Calgary-Nolan Hill-Cochrane
Edmonton-Highlands-Norwood|002,Edmonton-Highlands-Norwood,002,,Edmonton-Highlands-Norwood
Calgary-Bow|031,Calgary-Bow,031,,Calgary-Bow-Springbank
Edmonton-Highlands-Norwood|006,Edmonton-Highlands-Norwood,006,,Edmonton-Highlands-Norwood
Taber-Warner|006,Taber-Warner,006,,Lethbridge-Taber-Warner
Edmonton-Beverly-Clareview|001,Edmonton-Beverly-Clareview,001,,Edmonton-Beverly-Clareview
