map,ed_name,area_m2,bounding_circle_diameter_m,reock
majority,Edmonton-Meadows,13434084.81795293,5614.291901361197,0.5426605200113047
majority,Edmonton-Mill Woods,24352600.778612018,8777.448206827044,0.40245647304093046
majority,Edmonton-North West,32003113.815582573,10445.422262240201,0.3734653825144409
majority,Edmonton-Rutherford,26072485.76366761,7932.381084452121,0.527576469315237
majority,Edmonton-South,54269149.784858644,14298.801821467292,0.33795886460300917
majority,Edmonton-Strathcona,26227549.81651159,8209.529190806672,0.49548594113362826
majority,Edmonton-West Henday,73391237.65810765,14004.146213855798,0.4764760297436516
majority,Edmonton-Whitemud,27052462.38207883,9072.578011186793,0.41846149090445434
majority,Edmonton-Windermere,55196902.77346191,13181.148866036907,0.4044997876295888
majority,Airdrie-East,1579351671.6570935,59283.6427933462,0.5721622484012441
majority,Airdrie-West,194602932.55491456,22600.55485357158,0.4850888545943142
majority,Barrhead-Westlock-Athabasca,14652287227.772463,217220.46775176376,0.3953794136904109
majority,Camrose,10095764175.731693,158546.97319824854,0.5113678324936163
majority,Canmore-Banff,15660004419.42427,301409.43991524563,0.21947663802398334
majority,Central Peace-Notley,47311820754.44008,425204.1016294826,0.33318457716537814
majority,Chestermere-Strathmore,1019716043.4670717,42577.84262019023,0.7161797977864311
majority,Cochrane-Springbank,754681764.1074762,47147.968239076436,0.4322629470084868
majority,Cold Lake-Bonnyville-St. Paul,16704115999.562042,219134.51052423567,0.4429065059140532
majority,Drumheller-Stettler,39968183677.35233,323573.2095696144,0.48604828786269694
majority,Fort McMurray-Lac La Biche,35378890265.728966,346080.59411522653,0.3760969656550048
majority,Fort McMurray-Wood Buffalo,86359757643.56927,490228.0088410191,0.4575360220998707
majority,Fort Saskatchewan-Vegreville,8299254689.993308,167798.57394059811,0.37529491495078227
majority,Grande Prairie,111649766.93194467,16684.82822944474,0.5106513208191098
majority,Grande Prairie-Wapiti,16017699678.028036,203150.98090452328,0.49416549546027955
majority,High River-Vulcan-Siksika,14771198759.20189,188314.44086964242,0.530345160755196
majority,Lacombe-Clearwater,20237705758.163887,235695.7558454133,0.4638396511079418
majority,Leduc-Devon,1862528073.2089212,76959.4671449624,0.4003951811079742
majority,Lesser Slave Lake,75775342363.05635,382546.782437155,0.6592785088689418
majority,Lethbridge-East,51216292.42247345,14122.397958982736,0.3269650738899687
majority,Lethbridge-West,95410109.88225374,15984.735753562301,0.4754376735313369
majority,Livingstone-Macleod,12691142438.268818,190975.2624207551,0.44305394316163393
majority,Lloydminster-Wainwright,11047192594.698204,174275.92368378537,0.4631133043990219
majority,Medicine Hat-Brooks,13740260775.941057,208933.91351818014,0.40076262794602346
majority,Medicine Hat-Cypress,6116895672.979001,134751.94353091717,0.42891488340022943
majority,Mountain View-Kneehill,7685012962.420429,170284.26424089074,0.33744709099507236
majority,Okotoks-Diamond Valley,1259615899.5066528,74708.62781390993,0.2873470435104795
majority,Peace River,109228334676.83362,505882.74326522835,0.5434326166327571
majority,Red Deer-North,73959632.39545779,13809.931429244753,0.4937667235982047
majority,Red Deer-South,35095382.43578131,9651.288651543116,0.47972183745584357
majority,Sherwood Park,71301400.23304202,14632.64297322571,0.4239968449075464
majority,Spruce Grove,378222877.632104,35100.77818386443,0.3908628761394409
majority,St. Albert,57118110.05123601,11301.575727431104,0.5693849041249556
majority,St. Albert-Sturgeon,2252387539.5362477,85616.3774697638,0.39123665579461975
majority,Stony Plain-Drayton Valley,5357265905.750148,140208.5516855427,0.346979898135548
majority,Strathcona-Sherwood Park,767328398.4936097,40657.88452441618,0.5910195325372982
majority,Sylvan Lake-Innisfail,4178322631.979719,118754.91152620316,0.37723234994616794
majority,Taber-Cardston,21271241218.054955,242842.9285221008,0.45925302769157716
majority,West Yellowhead,50780833334.308395,358663.9407913964,0.5026139176617602
majority,Wetaskiwin-Ponoka-Maskwacis,6524743658.089401,141590.815519467,0.41438440832728035
