ed_name,region,sheet_num,cand_1,cand_2,cand_3,cand_4,cand_5,cand_6,votes_1,votes_2,votes_3,votes_4,votes_5,votes_6,total_valid_votes,turnout_pct,winner_party,winner_pct,runner_up_party,runner_up_pct,margin_pct
Cardston-Siksika,Rest of Alberta,54,Colleen Quintal (NDP),Joseph Schow (UCP),Angela Tabak (IND),Pär Wantenaar (SM),Terry Wolsey (TIP),,2527,10550,871,35,251,,14234,0.5613,UCP,74.12,NDP,17.75,56.37
Central Peace-Notley,Rest of Alberta,55,Rodney Bowen (TIP),Megan Ciurysek (NDP),Lynn Lekisch (AP),Todd Loewen (UCP),Nancy O'Neill (SM),,238,2216,166,9280,46,,11946,0.6200,UCP,77.68,NDP,18.55,59.13
Chestermere-Strathmore,Rest of Alberta,56,Chantelle De Jonge (UCP),Raj Jessel (NDP),Jed Laboucane (SM),Kerry Lambert (TIP),Terry Nicholls (IND),,15362,6119,45,264,258,,22048,0.5888,UCP,69.68,NDP,27.75,41.92
Cypress-Medicine Hat,Rest of Alberta,57,Cody Ray Both (TIP),Cathy Hogg (NDP),Matt Orr (WLC),Justin Wright (UCP),,,287,7697,322,13489,,,21795,0.5762,UCP,61.89,NDP,35.32,26.57
Drayton Valley-Devon,Rest of Alberta,58,Andrew Boitchenko (UCP),Jon Hokanson (WLC),Harry Singh (NDP),Gail Tookey (SM),Dale Withers (APA),,16532,580,5009,121,189,,22431,0.6330,UCP,73.70,NDP,22.33,51.37
Drumheller-Stettler,Rest of Alberta,59,Carla Evers (SM),Juliet Franklin (NDP),Nate Horner (UCP),Shannon Packham (TIP),Hannah Stretch Viens (WLC),,104,2684,15270,382,150,,18590,0.6326,UCP,82.14,NDP,14.44,67.70
Fort McMurray-Lac La Biche,Rest of Alberta,60,Calan William Simeon Hobbs (NDP),Brian Jean (UCP),KDM Kevin Johnston (IND),,,,2561,7692,202,,,,10455,0.4406,UCP,73.57,NDP,24.50,49.08
Fort McMurray-Wood Buffalo,Rest of Alberta,61,Funky Banjoko (IND),Tanika Chaisson (NDP),Bradley Friesen (AP),Zulkifl Mujahid (IND),Tany Yao (UCP),,625,1884,255,331,6483,,9578,0.4196,UCP,67.69,NDP,19.67,48.02
Fort Saskatchewan-Vegreville,Rest of Alberta,62,Jackie Armstrong-Homeniuk (UCP),Kathy Flett (IND),Granny Margaret Mackay (SM),Taneen Rudyk (NDP),Kelly Zeleny (APA),,14126,801,108,9064,227,,24326,0.6103,UCP,58.07,NDP,37.26,20.81
Grande Prairie,Rest of Alberta,63,David Braun (TIP),Shane Diederich (GPA),Nolan Dyck (UCP),Kevin McLean (NDP),Preston Mildenberger (AP),,348,160,10001,4890,242,,15641,0.4974,UCP,63.94,NDP,31.26,32.68
Grande Prairie-Wapiti,Rest of Alberta,64,Dustin Archibald (NDP),Brooklyn Biegel (TIP),Ron Wiebe (UCP),,,,4063,645,15093,,,,19801,0.5569,UCP,76.22,NDP,20.52,55.70
Highwood,Rest of Alberta,65,Jessica Hallam (NDP),Mike Lorusso (WIPA),R.J. Sigurdson (UCP),,,,7540,580,17990,,,,26110,0.6746,UCP,68.90,NDP,28.88,40.02
Innisfail-Sylvan Lake,Rest of Alberta,66,Devin Dreeshen (UCP),Jason Heistad (NDP),Jeevan Mangat (WIPA),Brandon Pringle (SM),David Reid (TIP),Randy Thorsteinson (REF),16385,5700,240,149,276,132,22882,0.6248,UCP,71.61,NDP,24.91,46.70
Lac Ste. Anne-Parkland,Rest of Alberta,67,Marilyn Burns (APA),Oneil Carlier (NDP),Vanessa Diehl (GPA),Shane Getson (UCP),Janet Jabush (AP),,182,5868,205,14923,463,,21641,0.6278,UCP,68.96,NDP,27.12,41.84
Lacombe-Ponoka,Rest of Alberta,68,Myles Chykerda (AP),Dave Dale (NDP),Daniel Jefferies (WLC),Jennifer Johnson (UCP),Nathan Leslie (SM),Taylor Lowery (GPA),1167,4995,444,14324,74,196,21200,0.6183,UCP,67.57,NDP,23.56,44.00
Leduc-Beaumont,Rest of Alberta,69,Kirk Cayer (IND),Cam Heenan (NDP),Bill Kaufmann (SM),Brandon Lunty (UCP),Sharon Maclise (TIP),,292,10069,144,14118,257,,24880,0.6284,UCP,56.74,NDP,40.47,16.27
Lesser Slave Lake,Rest of Alberta,70,Danielle Larivee (NDP),Bert (Bertrand) Seatter (SM),Scott Sinclair (UCP),,,,2636,144,5171,,,,7951,0.5096,UCP,65.04,NDP,33.15,31.88
Lethbridge-East,Rest of Alberta,71,Helen McMenamin (LIB),Rob Miyashiro (NDP),Nathan Neudorf (UCP),,,,488,10362,10998,,,,21848,0.6201,UCP,50.34,NDP,47.43,2.91
