map,name,tier,confidence,area_km2,perimeter_km,polsby_popper,polsby_popper_lo,polsby_popper_hi,reock,reock_lo,reock_hi,refined_note
2026_refined_minority,Calgary-East,A,high,25.151641050995398,31.958504514602065,0.30945912517495017,0.2794591251749502,0.33945912517495014,0.2650444517202071,0.21504445172020709,0.31504445172020706,unrefined
2026_refined_minority,Calgary-Edgemont,A,high,19.16584124233419,19.26628830434078,0.6488460135361873,0.6188460135361873,0.6788460135361873,0.5399130317487393,0.4899130317487393,0.5899130317487393,unrefined
2026_refined_minority,Calgary-Elbow,A,high,19.042863596009674,28.29736535204806,0.2988478367093223,0.26884783670932233,0.32884783670932227,0.3383582718847652,0.2883582718847652,0.3883582718847652,unrefined
2026_refined_minority,Calgary-Falconridge,A,high,15.10121512180346,19.514793347811004,0.49830339370453064,0.46830339370453067,0.5283033937045306,0.38937272079827084,0.33937272079827085,0.43937272079827083,unrefined
2026_refined_minority,Calgary-Fish Creek,A,high,28.177906637294715,23.03346526663239,0.6674212489556202,0.6374212489556201,0.6974212489556202,0.5550420698936781,0.5050420698936781,0.6050420698936781,unrefined
2026_refined_minority,Calgary-Glenmore,A,high,29.208237450220945,31.116544776513535,0.379081405279447,0.349081405279447,0.40908140527944703,0.3993728047912597,0.3493728047912597,0.4493728047912597,unrefined
2026_refined_minority,Calgary-Hays,A,high,24.01215878914781,28.12134282609988,0.38156537755779635,0.3515653775577964,0.4115653775577963,0.2438773640016559,0.1938773640016559,0.2938773640016559,unrefined
2026_refined_minority,Calgary-Klein,A,high,37.41797659363021,34.309646166679386,0.3994456394604435,0.3694456394604435,0.42944563946044345,0.3498549612451474,0.29985496124514743,0.3998549612451474,unrefined
2026_refined_minority,Calgary-Lougheed,A,high,33.12296373358274,33.98793947761039,0.3603208394678235,0.33032083946782353,0.3903208394678235,0.3578670101382962,0.3078670101382962,0.4078670101382962,unrefined
2026_refined_minority,Calgary-Mountain View,A,high,17.842436590439924,25.561745139293755,0.3431492271846526,0.31314922718465266,0.3731492271846526,0.26387081861713463,0.21387081861713464,0.3138708186171346,unrefined
2026_refined_minority,Calgary-North,A,high,21.197383564875107,22.002539342481306,0.5502328435516436,0.5202328435516436,0.5802328435516436,0.41847330199844995,0.36847330199844996,0.46847330199844994,unrefined
2026_refined_minority,Calgary-North East,A,high,66.48363870424147,46.63401090033758,0.38416615859824477,0.35416615859824474,0.4141661585982448,0.3925609551807466,0.3425609551807466,0.44256095518074656,unrefined
2026_refined_minority,Calgary-South East,A,high,52.53276427680322,32.13641484819958,0.6392125128906907,0.6092125128906907,0.6692125128906907,0.44540689333430955,0.39540689333430956,0.49540689333430954,unrefined
2026_refined_minority,Calgary-Varsity,A,high,24.012559405338944,27.461569899354885,0.4001267571380707,0.37012675713807075,0.4301267571380707,0.321445451262268,0.271445451262268,0.37144545126226797,unrefined
2026_refined_minority,Camrose,A,high,10636.570655675137,722.3722540262208,0.2561470627647195,0.2261470627647195,0.28614706276471946,0.46569423887952577,0.4156942388795258,0.5156942388795258,unrefined
2026_refined_minority,Central Peace-Notley,A,high,47311.93162058979,1506.0844200736044,0.2621089868285002,0.2321089868285002,0.2921089868285002,0.30755469875720143,0.25755469875720144,0.3575546987572014,unrefined
2026_refined_minority,Chestermere-Strathmore,A,high,1581.5462445557323,191.14062705421895,0.5439835243884031,0.5139835243884031,0.5739835243884032,0.5826679137435917,0.5326679137435917,0.6326679137435918,unrefined
2026_refined_minority,Medicine Hat-Cypress,A,high,6113.4688897793885,411.1505074319066,0.4544602565965968,0.4244602565965968,0.48446025659659675,0.3837370549576378,0.33373705495763784,0.4337370549576378,unrefined
2026_refined_minority,Stony Plain-Drayton Valley,A,medium,6153.8268778442725,531.9610349395041,0.2732722255847502,0.24327222558475017,0.3032722255847502,0.34727565492625323,0.29727565492625324,0.3972756549262532,unrefined
2026_refined_minority,Drumheller-Stettler,A,high,36548.494011877985,1093.1824633027632,0.3843209313121662,0.35432093131216624,0.4143209313121662,0.5203428390566823,0.47034283905668234,0.5703428390566824,unrefined
2026_refined_minority,Edmonton-City Centre,A,high,12.339992257601248,18.80853917260365,0.4383435488186143,0.40834354881861434,0.4683435488186143,0.3167437305528032,0.2667437305528032,0.3667437305528032,unrefined
