map,ed_name,area_m2,bounding_circle_diameter_m,reock
majority,Grande Prairie,111134420.59958413,16684.828229130013,0.508294286940852
majority,Grande Prairie-Wapiti,16018215034.120554,203151.08273104392,0.49418089941953025
majority,High River-Vulcan-Siksika,647487505.278012,54627.703348718635,0.27625848518084134
majority,Lacombe-Clearwater,4322238204.479288,105070.6185423285,0.49848975669423173
majority,Leduc-Devon,140615961.61351115,18027.572618529666,0.5508967781688456
majority,Lesser Slave Lake,69566090438.36389,367867.86045078374,0.6545216594048869
majority,Lethbridge-East,49627894.596808195,14122.39795868285,0.31682473402580696
majority,Lethbridge-West,191736870.88337797,25516.230810790148,0.37495807437493933
majority,Livingstone-Macleod,19812718127.76521,200114.788461864,0.6299351048996107
majority,Lloydminster-Wainwright,10090974331.409979,160276.2882775167,0.5001550605687372
majority,Medicine Hat-Brooks,17822876293.032696,226776.02634044585,0.4412590534588524
majority,Medicine Hat-Cypress,6113468889.724861,134508.32545900345,0.4302288137423696
majority,Mountain View-Kneehill,12609693232.782402,222638.98886276595,0.3239009322455688
majority,Okotoks-Diamond Valley,1077966575.4479816,63403.88033001311,0.3414158965601203
majority,Peace River,109222501304.03706,505882.7428258995,0.5434035953906099
majority,Red Deer-North,71807425.53098004,13807.901389731094,0.47953920778590564
majority,Red Deer-South,35041435.98651962,9651.28865116302,0.47898443878274666
majority,Sherwood Park,62742047.67483028,13024.234838189557,0.47093868891164575
majority,Spruce Grove,262410419.58695635,26177.019580403343,0.4875855187240255
majority,St. Albert,107885161.02994326,18557.68183478713,0.3988635805410032
majority,St. Albert-Sturgeon,1743788154.673488,73681.42423433065,0.40896657822831145
majority,Stony Plain-Drayton Valley,13986836433.683733,206257.77425765805,0.4186093851317441
majority,Strathcona-Sherwood Park,642604236.4961393,37445.76194127505,0.5835100750216617
majority,Sylvan Lake-Innisfail,7620212661.906062,169701.43734832678,0.33690400112738794
majority,Taber-Cardston,19011724907.964325,212741.48119812272,0.5348441905872908
majority,West Yellowhead,53767456649.954926,359194.6127880234,0.5306033447405091
majority,Wetaskiwin-Ponoka-Maskwacis,5203065201.88804,135471.26640270837,0.36097323832853223
