perturbation_idx,majority_eg_pct,minority_eg_pct,asymmetry_pp,majority_mm_pp,minority_mm_pp,majority_declination,minority_declination,majority_seats_at_50_ndp,minority_seats_at_50_ndp,majority_ndp_seats,minority_ndp_seats,majority_conservation_pass,minority_conservation_pass,majority_coverage_frac,minority_coverage_frac
81,-5.495799226304057,0.6334225301202012,6.129221756424259,-1.3146591337536873,-1.9334532247207492,-0.05733545825282563,-0.02450811168833501,49,45,41,35,True,True,0.9168303129294445,0.8956220761749709
82,-2.427292822834208,0.6589675366524883,3.086260359486696,-1.302166019847778,-1.7391591957800934,-0.04612203244160431,-0.011530783414597883,49,45,40,34,True,True,0.9167777057409192,0.8949865846929885
83,-5.414862692478294,0.6331236581940813,6.0479863506723746,-1.6571660403658872,-1.9674427315709508,-0.05922656979452533,-0.026406695453235682,49,45,41,35,True,True,0.9168934530373986,0.8956287545959126
84,-5.553527403274281,0.5926259516164422,6.146153354890723,-1.280293776775343,-1.7708799323580215,-0.05855594347375744,-0.024126035497763508,49,46,41,35,True,True,0.9168039549725626,0.8956510330749289
85,-5.460224446891104,0.8505515612198417,6.310776008110946,-1.5426945914391033,-1.9940728969717547,-0.05922708478793756,-0.025310041818631463,49,46,41,35,True,True,0.9167105137595436,0.8956336556447972
86,-5.605211207939935,0.5014926181295649,6.1067038260695,-1.416962370793895,-1.8305251794548005,-0.059308781202854974,-0.025158313315419123,49,46,41,35,True,True,0.9165965528270217,0.8954451902857055
87,-5.531316391333457,0.6829964490287034,6.21431284036216,-1.254402205101951,-1.3543780369954184,-0.05831236050388006,-0.0261217142793415,49,44,41,35,True,True,0.916509713925378,0.8956787338328218
88,-2.4005144764206308,0.82857462556615,3.229089101986781,-1.368571265872509,-1.7684386529960183,-0.04490480582058493,-0.025928219724009317,49,46,40,35,True,True,0.9166160118241569,0.8949901058847831
89,-2.350931605167865,0.6187079317596154,2.9696395369274797,-1.4019801710268565,-2.2189110862781583,-0.044778052490767085,-0.029641956066186397,49,46,40,35,True,True,0.9167188033185644,0.8956157995445121
90,-2.357527333812065,0.62866871933748,2.986196053149545,-1.7206817627985704,-1.9994089826186168,-0.031805427045306485,-0.03817455905867543,48,45,39,36,True,True,0.9168145252030327,0.8944662940611274
91,-2.272458062090427,2.1000954753960586,4.3725535374864855,-1.4839855159951676,-2.130722642766414,-0.045736878437744495,-0.026138043389498898,49,45,40,35,True,True,0.9167369177929141,0.895413629166055
92,-2.2687077784548886,0.8191985560070022,3.087906334461891,-1.7334459778409417,-2.0103790014889213,-0.04532632975021245,-0.025213403323293363,49,45,40,35,True,True,0.9168184044797723,0.8948892865406186
93,-2.336572794635031,0.6080470976955376,2.9446198923305684,-1.7137821161806233,-2.058651967704556,-0.04572933608785698,-0.03759393833875538,49,45,40,36,True,True,0.9167452043669104,0.8947733225395734
94,-5.628480158339601,0.7443943862942065,6.372874544633807,-1.41584083991817,-1.738558691932085,-0.058148484786609576,-0.012751588204830501,49,45,41,34,True,True,0.9167895769151185,0.8955865587779401
95,-5.474642789555613,1.0070293415323994,6.481672131088012,-1.5048176160229076,-1.8435639156072214,-0.0588485081065994,-0.012729770970917546,49,46,41,34,True,True,0.9167634186279162,0.8954666374493991
96,-2.2903916658576344,0.607803888467368,2.8981955543250026,-1.5459028697906496,-1.7752042615877983,-0.04541300598544153,-0.012842661694880403,49,45,40,34,True,True,0.916778342853845,0.8955852565265513
97,-5.511508925694757,0.8235347573285219,6.3350436830232795,-1.597190863150949,-1.931537826936347,-0.05908296588564894,-0.012790694686104075,49,45,41,34,True,True,0.916736741363015,0.8956456301782489
98,-2.4519702948784534,0.7758873818435811,3.2278576767220346,-1.396569940672393,-2.011041942734848,-0.04496061097445173,-0.01574135531398736,49,46,40,34,True,True,0.9168192599846011,0.8949994433284159
99,-2.1839042930787906,0.7024545074127917,2.8863588004915823,-1.5545653894509792,-2.0454952744479558,-0.04531083718465167,-0.025288786713453203,49,46,40,35,True,True,0.9167049120988584,0.8950525606017881
100,-5.3687992518699295,0.8370129225670911,6.20581217443702,-1.7022614498464705,-2.043444458359306,-0.05803408208961483,-0.013618880133614543,49,45,41,34,True,True,0.9167673889772304,0.895089513120711
101,-2.3773645634814886,0.7400203218454317,3.11738488532692,-1.6849468440214121,-2.0917882917857513,-0.046040845428011914,-0.02582176008616124,49,45,40,35,True,True,0.9168558454296192,0.8956688268882755
102,-2.3227409594452526,0.8289263575953825,3.1516673170406353,-1.496432424170857,-1.916448563146167,-0.04633497463220017,-0.026178069539144196,49,47,40,35,True,True,0.9166960888055666,0.8956369311456698
103,-5.556571476978432,0.4683807819535175,6.024952258931949,-1.3166351170137869,-1.4211588988039703,-0.05793525791020742,-0.025753529020506927,49,44,41,35,True,True,0.9167171253184692,0.8956240568854978
104,-2.5017303374519155,0.7260656021042968,3.227795939556213,-1.1784193151971545,-2.092205626471344,-0.045696798601101464,-0.023684560544944618,49,46,40,35,True,True,0.9167184584201772,0.895644026248622
105,-5.537584547885642,0.6213429337878368,6.158927481673478,-1.3652915875819738,-1.4736059640779564,-0.05950379008629806,-0.02438201972358639,49,44,41,35,True,True,0.9167778404505971,0.8953738831003403
106,-5.905938327287597,0.9582076269900222,6.864145954277618,-1.4141062102231927,-2.023685308391027,-0.07171360090832188,-0.02406836387855098,49,45,42,35,True,True,0.9166760570921224,0.8953531105471013
107,-5.438072102962988,0.7282405556354306,6.166312658598419,-1.4604028754363119,-2.04586282702246,-0.05843815755316512,-0.036004528996193316,49,45,41,36,True,True,0.9167419361466962,0.894922832877073
108,-2.3942401929185753,2.5120376578683024,4.906277850786878,-1.5621604497009722,-2.0836245818556867,-0.045039621286207046,0.0012215441795834535,49,46,40,33,True,True,0.9166924017608057,0.8954423204915221
109,-2.336690345285301,0.6494748588949907,2.986165204180292,-1.4877248202914806,-2.053658841152306,-0.04534680696494434,-0.027513113953105624,49,45,40,35,True,True,0.9167746408581343,0.895646623771413
110,-2.4677321326527264,0.539821687828816,3.007553820481543,-1.615601185332144,-1.7594096582104757,-0.04547839872599669,-0.035950904122778404,49,45,40,36,True,True,0.9167983654646585,0.8952624305133785
111,-5.397105015201993,2.02560650210439,7.422711517306382,-1.5497202091784457,-1.9776589912958664,-0.05819971529997067,-0.012590846363247454,49,45,41,34,True,True,0.9168067707122005,0.8949842230458309
112,-5.473118356911737,0.8066552007177261,6.279773557629463,-1.3998368292942875,-2.0932687343027947,-0.05910199927547237,-0.015244501210240576,49,46,41,34,True,True,0.9167989738050627,0.8949903274680112
113,-5.565716077868806,0.6437890234950532,6.209505101363859,-1.4691369741966331,-1.9656929603201256,-0.05866582762171677,-0.026066607077073315,49,45,41,35,True,True,0.9167798810599487,0.895654577298308
