map,name,tier,confidence,area_km2,perimeter_km,polsby_popper,reock
2019,Peace River,A,high,109221.98362246608,1693.9775977302168,0.4783046449051294,0.5434010179056261
2019,Edmonton-South,A,high,72.70419484010588,56.596308349638434,0.2852286360367699,0.4098593282119794
2019,Edmonton-Ellerslie,A,high,64.13648294910064,45.083508893758356,0.3965332270225734,0.5102793331516106
2019,Edmonton-Rutherford,A,high,21.27286148426335,28.47155075502819,0.32977181262283484,0.4858545552557101
2019,Edmonton-Mill Woods,A,high,26.55975579452195,21.97903598079886,0.6909023368797165,0.6291539496346389
2019,Edmonton-Meadows,A,high,18.55169619388073,21.54691805209477,0.5021380916598082,0.5708473669742221
2019,Edmonton-Whitemud,A,high,22.039743329652328,31.235392775122698,0.2838719320857487,0.392409821939363
2019,Edmonton-South West,A,high,91.698737313696,64.7813295984987,0.2745829108851367,0.2945103053578546
2019,Edmonton-McClung,A,high,17.94461065916604,23.38241595047069,0.41244414247820127,0.5361481317827892
2019,Edmonton-Strathcona,A,high,15.469617769271503,26.648154103326153,0.27375066620891153,0.3833833292115658
2019,Edmonton-Riverview,A,high,27.860283231111847,29.411095714264153,0.40473706890431754,0.4955722578881444
2019,Edmonton-Gold Bar,A,high,53.610011697734,41.0737190221543,0.39932611254866496,0.5097372016375438
2019,Edmonton-City Centre,A,high,12.339992257601248,18.80853917260365,0.4383435488186143,0.3981811283240838
2019,Edmonton-Glenora,A,high,22.42444492994513,23.702586739385392,0.5015798447974974,0.39654504925953565
2019,Edmonton-Highlands-Norwood,A,high,16.579789821555288,20.054687961182307,0.5180325712053891,0.4632581687365419
2019,Edmonton-West Henday,A,high,76.50250538154614,44.35072457896071,0.4887469757713418,0.3903680605723747
2019,Edmonton-Beverly-Clareview,A,high,39.301302613584284,34.9937247179736,0.40330765652051376,0.4470105937817856
2019,Edmonton-Decore,A,high,17.184411816543438,17.584071881923137,0.6984022582395454,0.5199246973766685
2019,Edmonton-North West,A,high,29.92862690131798,33.385232690286074,0.3374332238170371,0.34924831716284443
2019,Edmonton-Castle Downs,A,high,20.85917712238856,21.364812015510672,0.5742604197772444,0.4293766529902935
2019,Edmonton-Manning,A,high,115.33191511035204,50.47443290455879,0.5688745058044719,0.5604235746830665
2019,Calgary-South East,A,high,52.53276427680322,32.13641484819958,0.6392125128906907,0.5125214471075821
2019,Calgary-Shaw,A,high,40.16037342857354,30.357271632969972,0.5476235712608624,0.38709003326907615
2019,Calgary-Hays,A,high,24.01215878914781,28.12134282609988,0.38156537755779635,0.25295069937980325
2019,Calgary-Lougheed,A,high,33.12296373358274,33.98793947761039,0.3603208394678235,0.3695322439868244
2019,Calgary-Fish Creek,A,high,28.177906637294715,23.03346526663239,0.6674212489556202,0.6223332608677912
2019,Calgary-Glenmore,A,high,29.208237450220945,31.116544776513535,0.379081405279447,0.41994122380212046
2019,Calgary-Elbow,A,high,19.042863596009674,28.29736535204806,0.2988478367093223,0.3928288992727916
2019,Calgary-Acadia,A,high,40.01907229345469,37.73056787500512,0.35325652898000537,0.3106941292415585
2019,Calgary-Peigan,A,high,110.13782638452449,60.53382673258381,0.3777027149854003,0.5319489522007832
2019,Calgary-Buffalo,A,high,10.555415893432473,21.444322366873138,0.2884433687967345,0.28880831367852194
2019,Calgary-West,A,high,23.922714933770095,19.770471344478423,0.7691061470633369,0.6302950809683697
2019,Calgary-East,A,high,25.151641050995398,31.958504514602065,0.30945912517495017,0.27780475748414424
2019,Calgary-Currie,A,high,15.929957553319134,21.40937001266997,0.4367337015645022,0.5720876782578662
2019,Calgary-Mountain View,A,high,17.842436590439924,25.561745139293755,0.3431492271846526,0.3243977604730564
2019,Calgary-Cross,A,high,15.797321777851666,19.62944099128248,0.5152019102930326,0.419185403691037
2019,Calgary-Klein,A,high,37.41797659363021,34.309646166679386,0.3994456394604435,0.4135532712820061
2019,Calgary-Bow,A,high,34.85115034675992,32.662632909844184,0.4105108136088341,0.31718842503845496
2019,Calgary-Varsity,A,high,24.012559405338944,27.461569899354885,0.4001267571380707,0.37005821499059843
2019,Calgary-Falconridge,A,high,15.10121512180346,19.514793347811004,0.49830339370453064,0.4040588161597004
2019,Calgary-Edgemont,A,high,19.16584124233419,19.26628830434078,0.6488460135361873,0.6090599757695948
2019,Calgary-North West,A,high,26.219787391216986,36.58373790044401,0.24618573012935763,0.43085348682469726
2019,Calgary-North,A,high,21.197383564875107,22.002539342481306,0.5502328435516436,0.43848256231255106
2019,Calgary-Beddington,A,high,27.63926399550034,27.18773344822112,0.4698836474464151,0.5301177829135779
2019,Calgary-McCall,A,high,42.78649784593626,30.375468889587633,0.5827343554068485,0.5175922171593983
2019,Calgary-Foothills,A,high,46.616617046519956,38.98220635981964,0.3854941442346259,0.4217492060963545
2019,Calgary-North East,A,high,66.48363870424147,46.63401090033758,0.38416615859824477,0.40641716011055035
2019,Grande Prairie-Wapiti,A,high,16018.21503516566,722.1290923949646,0.386006217503667,0.49418088968709906
2019,Cypress-Medicine Hat,A,high,6113.4688897793885,411.1505074319066,0.4544602565965968,0.4302288137450547
majority_2026_approx,Calgary-Acadia,A,high,40.01907229345469,37.73056787500512,0.35325652898000537,0.3106941292415585
majority_2026_approx,Calgary-Beddington,A,high,27.63926399550034,27.18773344822112,0.4698836474464151,0.5301177829135779
