map,OBJECTID,parent_ed_2019,VA_NUMBER,ed_2026,area_weight,va_ndp_full_share,va_ucp_full_share,va_other_full_share,fallback
majority,2477,Calgary-Lougheed,003,Calgary-Lougheed,0.0405826074408121,8.840870012032257,11.51799133910686,0.6325400444055007,True
majority,2481,Lac Ste. Anne-Parkland,032,Edmonton-Enoch,1.0,76.88890608076744,181.6716114807365,14.421224663468976,True
majority,2482,Calgary-Cross,025,Calgary-Cross,0.06817664279867541,12.690010412943657,13.309327174626862,0.8686099017654296,True
majority,2487,Edmonton-North West,030,Edmonton-North West,0.7678461073937406,162.57737432970185,116.70399808846489,7.345932448499679,True
majority,2490,Edmonton-Gold Bar,013,Edmonton-Gold Bar,0.08626858267193138,26.82864915256238,11.210298298040074,0.9883055925045812,True
majority,2492,Edmonton-Riverview,035,Edmonton-Glenora-Riverview,0.16832059506897734,59.6663830977001,27.156108966998435,3.6537429457222665,True
majority,2496,Calgary-Foothills,055,Calgary-Nose Creek,0.12076145687947637,22.48278734326368,22.057811371468205,0.5725867460783012,True
majority,2507,Edmonton-Riverview,014,Edmonton-Glenora-Riverview,0.06358323165648416,22.93637891881074,10.38811160975271,1.183480464662305,True
majority,2508,Calgary-East,057,Calgary-East,1.0,94.53918698079804,96.19001089472967,8.021006400653684,True
majority,2512,Calgary-East,028,Calgary-East,0.6768583223059247,63.40261168417959,64.08097556996061,6.262498814929014,True
majority,2513,Calgary-Currie,002,Calgary-Currie,0.2746369626336739,58.41181777329548,47.05889905784137,4.888679748587692,True
majority,2518,Calgary-Bow,002,Calgary-Bow,0.22672623731170483,60.38118091889922,61.71701462249647,4.036770747632592,True
majority,2530,Lac Ste. Anne-Parkland,065,Edmonton-Enoch,1.0,92.20702460157821,41.29545102893393,5.637397493424107,True
majority,2534,Calgary-West,031,Calgary-West-Elbow Valley,0.0581678396821782,10.890747171533809,15.344916791234505,0.31590972419369323,True
majority,2535,Cardston-Siksika,021,High River-Vulcan-Siksika,1.0,18.193033381712624,114.29973763536898,9.8130791559674,True
majority,2536,Edmonton-Castle Downs,026,Edmonton-Castle Downs,0.4019851551231006,84.28474703444586,57.042369554272845,4.731078785143826,True
majority,2541,Grande Prairie-Wapiti,001,Grande Prairie-Wapiti,0.8368502187758784,18.55600169204795,82.98653669417234,5.668141342943165,True
majority,2543,Cardston-Siksika,045,High River-Vulcan-Siksika,1.0,74.7532656023222,28.175002791113098,3.0737970302556654,True
majority,2545,Calgary-North West,043,Calgary-North West,0.011959119246221506,2.486021205664409,2.5997240387324108,0.2066610479165264,True
majority,2552,Edmonton-City Centre,028,Edmonton-City Centre,0.1635647209510721,32.228393492328124,8.601495279222206,0.9754641103996559,True
majority,2554,Calgary-Falconridge,027,Calgary-Falconridge-Conrich,0.3191545338144668,59.26645630007588,41.84023389907099,4.036136543736027,True
majority,2559,Calgary-Fish Creek,024,Calgary-Fish Creek,0.49541059573717794,113.95801507116016,125.45874557270841,5.127806966105903,True
majority,2565,Calgary-Bow,012,Calgary-Bow,0.5941457413942053,77.38001325855043,82.5106882819999,3.9017177164797228,True
majority,2571,Grande Prairie-Wapiti,036,Grande Prairie-Wapiti,0.9999999795585243,64.69436281593082,194.78433904252068,8.922656955824385,True
majority,2579,Calgary-North,010,Calgary-North,0.048290006249549156,11.25099136614676,10.693730395482946,0.0,True
majority,2585,Calgary-Glenmore,040,Calgary-Glenmore-Tsuut'ina,0.41134709120879964,99.18552953635154,103.76191105514935,3.6763306804541833,True
majority,2592,Calgary-Edgemont,021,Calgary-Edgemont,0.07480376339404748,21.09644344232033,22.75412440210807,0.875645903846444,True
majority,2597,Calgary-West,002,Calgary-West-Elbow Valley,0.308504717530231,70.26260965405451,87.74468859040446,2.6569005619281447,True
majority,2614,Lac Ste. Anne-Parkland,044,Edmonton-Enoch,1.0,76.88890608076744,181.6716114807365,14.421224663468976,True
majority,2617,Edmonton-North West,038,Edmonton-North West,0.5135343548549167,129.00971414661694,90.81136069896796,3.907694081321824,True
majority,2620,Grande Prairie-Wapiti,027,Grande Prairie-Wapiti,1.0,32.6133181744356,132.59434789670294,6.333490336202695,True
