va_id,parent_ed_2019,va_ndp,va_ucp,va_other,assigned_2026_majority,maj_method,maj_confidence,assigned_2026_minority,min_method,min_confidence
Calgary-South East|001,Calgary-South East,74.2,136.8,5.6,Calgary-South East,crosswalk,high,Calgary-South East,crosswalk,high
Cypress-Medicine Hat|014,Cypress-Medicine Hat,87.4,136.2,5.6,Medicine Hat-Cypress,spatial,high,Medicine Hat-Cypress,spatial,high
Calgary-Peigan|001,Calgary-Peigan,105.66666666666667,146.16666666666666,5.166666666666667,Calgary-Hays,spatial,high,Calgary-Klein,spatial,high
Camrose|011,Camrose,59.2,88.8,21.0,Camrose,crosswalk,high,Camrose,crosswalk,high
Calgary-East|040,Calgary-East,65.875,63.25,4.75,Calgary-East,crosswalk,high,Calgary-East,crosswalk,high
Chestermere-Strathmore|035,Chestermere-Strathmore,57.833333333333336,113.66666666666667,4.333333333333333,Chestermere-Strathmore,crosswalk,high,Chestermere-Strathmore,crosswalk,high
Calgary-Foothills|014,Calgary-Foothills,111.75,98.5,3.5,Calgary-Edgemont,spatial,high,Calgary-Foothills-Airdrie West,candidate,medium
Calgary-Klein|030,Calgary-Klein,113.5,90.25,5.0,Calgary-Klein,crosswalk,high,Calgary-Klein,crosswalk,high
Cypress-Medicine Hat|033,Cypress-Medicine Hat,95.8,165.8,4.0,Medicine Hat-Cypress,spatial,high,Lethbridge-Taber-Warner,spatial,high
Strathcona-Sherwood Park|026,Strathcona-Sherwood Park,94.0,171.0,6.0,Strathcona-Sherwood Park,crosswalk,high,Sherwood Park-Strathcona,spatial,high
Calgary-North East|042,Calgary-North East,84.75,59.375,0.0,Calgary-North East,crosswalk,high,Calgary-North East,crosswalk,high
Calgary-Buffalo|056,Calgary-Buffalo,67.77777777777777,58.333333333333336,3.7777777777777777,Calgary-Buffalo,spatial,high,Calgary-Buffalo,crosswalk,high
Rimbey-Rocky Mountain House-Sundre|003,Rimbey-Rocky Mountain House-Sundre,21.9,129.2,26.8,Stony Plain-Drayton Valley,nearest_ed,low,Rocky Mountain House-Banff Park,spatial,high
Calgary-East|052,Calgary-East,49.57142857142857,56.857142857142854,6.0,Calgary-East,crosswalk,high,Calgary-East,crosswalk,high
Airdrie-East|067,Airdrie-East,75.75,108.5,4.25,Airdrie-East,crosswalk,high,Calgary-Falconridge,spatial,high
Calgary-Varsity|044,Calgary-Varsity,143.25,96.25,1.75,Calgary-Varsity,crosswalk,high,Calgary-Varsity,crosswalk,high
Edmonton-South West|076,Edmonton-South West,59.22222222222222,50.111111111111114,1.5555555555555556,Edmonton-Windermere,spatial,high,Edmonton-Rutherford,spatial,high
Chestermere-Strathmore|041,Chestermere-Strathmore,64.0,95.66666666666667,4.0,Chestermere-Strathmore,crosswalk,high,Chestermere-Strathmore,crosswalk,high
Edmonton-Riverview|021,Edmonton-Riverview,152.4,44.8,6.6,Edmonton-City Centre,spatial,high,Edmonton-Beverly-Clareview,spatial,high
Calgary-Acadia|030,Calgary-Acadia,78.0,78.875,8.625,Calgary-Acadia,crosswalk,high,Calgary-Acadia,crosswalk,high
Calgary-Shaw|065,Calgary-Shaw,82.6,110.3,2.3,Calgary-Shaw,crosswalk,high,Calgary-De Winton,spatial,high
Calgary-Currie|006,Calgary-Currie,108.25,106.5,9.0,Calgary-Currie,crosswalk,high,Calgary-Currie,crosswalk,high
Bonnyville-Cold Lake-St. Paul|052,Bonnyville-Cold Lake-St. Paul,44.833333333333336,116.33333333333333,0.0,Cold Lake-Bonnyville-St. Paul,spatial,high,Cold Lake-Bonnyville-St. Paul,spatial,high
Highwood|006,Highwood,27.571428571428573,78.28571428571429,3.857142857142857,High River-Vulcan-Siksika,spatial,high,Highwood,crosswalk,high
Brooks-Medicine Hat|038,Brooks-Medicine Hat,73.83333333333333,175.16666666666666,12.333333333333334,Medicine Hat-Brooks,spatial,high,Medicine Hat-Brooks,spatial,high
Fort McMurray-Lac La Biche|028,Fort McMurray-Lac La Biche,17.0,9.0,1.0,Fort McMurray-Lac La Biche,crosswalk,high,Fort McMurray-Lac La Biche,crosswalk,high
Leduc-Beaumont|052,Leduc-Beaumont,76.8,128.0,11.4,Leduc-Devon,spatial,high,Edmonton-Beaumont,candidate,medium
Innisfail-Sylvan Lake|023,Innisfail-Sylvan Lake,45.77777777777778,132.66666666666666,8.555555555555555,Sylvan Lake-Innisfail,spatial,high,Red Deer-Innisfail,crosswalk_split_default,medium
Calgary-Beddington|048,Calgary-Beddington,105.0,99.8,9.0,Calgary-Klein,spatial,high,Calgary-Beddington,crosswalk,high
Lethbridge-East|042,Lethbridge-East,78.0,93.25,4.25,Lethbridge-East,spatial,high,Lethbridge-Fort MacLeod-Crowsnest Pass,candidate,medium
Bonnyville-Cold Lake-St. Paul|004,Bonnyville-Cold Lake-St. Paul,20.5,6.0,0.0,Cold Lake-Bonnyville-St. Paul,spatial,high,Cold Lake-Bonnyville-St. Paul,crosswalk,high
Cardston-Siksika|055,Cardston-Siksika,8.142857142857142,104.71428571428571,21.571428571428573,Livingstone-Macleod,nearest_ed,low,Lethbridge-Fort MacLeod-Crowsnest Pass,nearest_ed,low
Calgary-Mountain View|012,Calgary-Mountain View,115.8,59.4,3.0,Calgary-Mountain View,crosswalk,high,Calgary-Mountain View,crosswalk,high
Calgary-Mountain View|008,Calgary-Mountain View,132.2,78.0,5.0,Calgary-Mountain View,crosswalk,high,Calgary-Mountain View,crosswalk,high
Spruce Grove-Stony Plain|017,Spruce Grove-Stony Plain,112.625,147.125,6.25,Spruce Grove,spatial,high,Edmonton-Spruce Grove,spatial,high
Bonnyville-Cold Lake-St. Paul|037,Bonnyville-Cold Lake-St. Paul,47.666666666666664,197.33333333333334,0.0,Cold Lake-Bonnyville-St. Paul,spatial,high,Cold Lake-Bonnyville-St. Paul,spatial,high
Drumheller-Stettler|023,Drumheller-Stettler,4.0,211.0,11.0,Drumheller-Stettler,crosswalk,high,Drumheller-Stettler,crosswalk,high
Spruce Grove-Stony Plain|034,Spruce Grove-Stony Plain,71.83333333333333,99.33333333333333,8.333333333333334,Spruce Grove,spatial,high,Edmonton-Spruce Grove,spatial,high
Calgary-Bhullar-McCall|003,Calgary-Bhullar-McCall,160.0,116.0,0.0,Calgary-Bhullar-McCall,crosswalk,high,Calgary-McCall-Bhullar,spatial,high
Calgary-Hays|015,Calgary-Hays,72.8,94.4,6.0,Calgary-South East,spatial,high,Calgary-Hays,crosswalk,high
Lethbridge-East|010,Lethbridge-East,97.4,131.9,5.5,Lethbridge-East,spatial,high,Lethbridge-Fort MacLeod-Crowsnest Pass,candidate,medium
Cypress-Medicine Hat|038,Cypress-Medicine Hat,105.66666666666667,184.33333333333334,5.0,Medicine Hat-Cypress,spatial,high,Lethbridge-Taber-Warner,spatial,high
Calgary-Lougheed|001,Calgary-Lougheed,116.0,142.2,8.4,Calgary-Lougheed,crosswalk,high,Calgary-Lougheed,crosswalk,high
Edmonton-South West|034,Edmonton-South West,72.125,63.375,1.625,Edmonton-Windermere,spatial,high,Stony Plain-Drayton Valley,spatial,high
Edmonton-Decore|041,Edmonton-Decore,89.75,78.0,9.25,Edmonton-Decore,crosswalk,high,Edmonton-Decore,crosswalk,high
Edmonton-Decore|037,Edmonton-Decore,82.0,72.5,6.0,Edmonton-Decore,crosswalk,high,Edmonton-Decore,crosswalk,high
Spruce Grove-Stony Plain|028,Spruce Grove-Stony Plain,91.5,112.16666666666667,5.5,Spruce Grove,spatial,high,Edmonton-Spruce Grove,spatial,high
Calgary-Peigan|014,Calgary-Peigan,96.5,166.5,5.333333333333333,Calgary-Hays,spatial,high,Calgary-Klein,spatial,high
Taber-Warner|039,Taber-Warner,22.5,131.5,10.166666666666666,Taber-Cardston,spatial,high,Lethbridge-Little Bow,spatial,high
Calgary-Currie|032,Calgary-Currie,99.2,57.4,9.2,Calgary-Currie,crosswalk,high,Calgary-Currie,crosswalk,high
Calgary-Peigan|018,Calgary-Peigan,80.8,134.0,30.0,Calgary-Hays,spatial,high,Calgary-Klein,spatial,high
Edmonton-Ellerslie|032,Edmonton-Ellerslie,141.25,110.75,6.25,Edmonton-Ellerslie,crosswalk,high,Edmonton-Ellerslie,crosswalk,high
Calgary-Acadia|037,Calgary-Acadia,135.25,120.5,7.75,Calgary-Acadia,crosswalk,high,Calgary-Acadia,crosswalk,high
Calgary-Foothills|005,Calgary-Foothills,73.75,77.5,3.5,Calgary-Edgemont,spatial,high,Calgary-Foothills-Airdrie West,candidate,medium
Edmonton-McClung|031,Edmonton-McClung,70.6,50.8,6.0,Edmonton-McClung,crosswalk,high,Edmonton-McClung,crosswalk,high
Calgary-Shaw|015,Calgary-Shaw,54.75,63.0,1.5,Calgary-Shaw,crosswalk,high,Calgary-Acadia,spatial,high
Calgary-North East|053,Calgary-North East,88.0,63.5,0.0,Calgary-North East,crosswalk,high,Calgary-North East,crosswalk,high
Calgary-East|031,Calgary-East,40.57142857142857,49.857142857142854,7.142857142857143,Calgary-East,crosswalk,high,Calgary-East,crosswalk,high
Calgary-Glenmore|024,Calgary-Glenmore,104.16666666666667,124.5,6.833333333333333,Calgary-West-Elbow Valley,spatial,high,Calgary-Glenmore,crosswalk,high
Edmonton-Gold Bar|006,Edmonton-Gold Bar,160.8,91.4,7.8,Edmonton-Gold Bar,crosswalk,high,Edmonton-Gold Bar,crosswalk,high
Peace River|044,Peace River,19.454545454545453,38.72727272727273,2.6363636363636362,Peace River,crosswalk,high,Peace River,crosswalk,high
