OBJECTID,VA_NUMBER,parent_ed_2019,va_ndp,va_ucp,va_other,ed_2026_maj,ed_2026_min
1579,023,Edmonton-Highlands-Norwood,55.25,17.25,3.5,Edmonton-Highlands-Norwood,Edmonton-Highlands-Norwood
1580,003,Calgary-Edgemont,109.2,97.4,8.4,Calgary-Edgemont,Calgary-Varsity
1581,026,Calgary-Mountain View,80.5,36.666666666666664,1.8333333333333333,Calgary-Mountain View,Calgary-Mountainview
1582,047,Calgary-West,74.375,121.125,2.25,Calgary-West-Elbow Valley,Calgary-West-Tsuut'ina
1583,035,Rimbey-Rocky Mountain House-Sundre,21.9,129.2,26.8,Lacombe-Clearwater,Rocky Mountain House-Banff Park
1584,063,Rimbey-Rocky Mountain House-Sundre,24.7,115.6,30.5,Mountain View-Kneehill,Rocky Mountain House-Banff Park
1585,051,Camrose,17.4,104.0,16.6,Camrose,Camrose
1586,052,Camrose,17.4,104.0,16.6,Camrose,Camrose
1587,038,Airdrie-Cochrane,75.85714285714286,111.85714285714286,5.285714285714286,Cochrane-Springbank,Calgary-Nolan Hill-Cochrane
1588,014,Calgary-Klein,125.0,126.5,7.0,Calgary-Klein,Calgary-Klein
1589,011,Lac Ste. Anne-Parkland,110.0,205.0,14.0,Stony Plain-Drayton Valley,Lac Ste Anne-Parkland
1590,049,Calgary-Hays,90.16666666666667,140.83333333333334,7.166666666666667,Calgary-Hays,Calgary-Hays
1591,032,Calgary-North West,77.4,88.6,6.4,Calgary-North West,Calgary-North West-Bearspaw
1592,037,Edmonton-Glenora,140.33333333333334,67.66666666666667,7.0,Edmonton-Glenora-Riverview,Edmonton-Glenora-Riverview
1593,038,Edmonton-City Centre,91.875,29.625,3.875,Edmonton-City Centre,Edmonton-City Centre
1594,050,Innisfail-Sylvan Lake,37.3,128.9,5.25,Sylvan Lake-Innisfail,Red Deer-Sylvan Lake
1595,030,Lacombe-Ponoka,54.0,141.57142857142858,29.0,Lacombe-Clearwater,Red Deer-Lacombe
1596,006,Spruce Grove-Stony Plain,100.8,138.2,4.8,Spruce Grove,Edmonton-Spruce Grove
1597,051,Calgary-Shaw,82.9090909090909,104.54545454545455,1.5454545454545454,Calgary-Shaw,Calgary-De Winton
1598,036,Lacombe-Ponoka,41.333333333333336,142.0,17.333333333333332,Lacombe-Clearwater,Red Deer-Lacombe
1599,038,Edmonton-Ellerslie,119.0,72.0,5.25,Edmonton-Ellerslie,Edmonton-Ellerslie
1600,038,Edmonton-Rutherford,119.625,76.75,5.0,Edmonton-Rutherford,Edmonton-Rutherford
1601,035,Calgary-Elbow,106.66666666666667,102.16666666666667,7.833333333333333,Calgary-Elbow,Calgary-Elbow
1602,015,Calgary-Acadia,100.25,119.25,8.5,Calgary-Acadia,Calgary-Acadia
1603,014,Calgary-Acadia,104.5,91.25,8.0,Calgary-Acadia,Calgary-Acadia
1604,010,Peace River,62.0,114.0,4.666666666666667,Peace River,Peace River
1605,044,Camrose,41.666666666666664,188.66666666666666,32.0,Camrose,Camrose
1606,068,Airdrie-East,63.142857142857146,130.14285714285714,4.428571428571429,Airdrie-East,Calgary-Airdrie
1607,008,Edmonton-Rutherford,176.5,88.25,12.0,Edmonton-Rutherford,Edmonton-Rutherford
1608,060,Calgary-Mountain View,123.0,71.5,4.0,Calgary-Mountain View,Calgary-Mountainview
1609,009,Vermilion-Lloydminster-Wainwright,53.666666666666664,123.5,21.833333333333332,Lloydminster-Wainwright,Lloydminster-Wainwright
1610,010,Calgary-Falconridge,74.5,85.66666666666667,8.666666666666666,Calgary-Cross,Calgary-Falconridge
1611,020,Calgary-North East,83.5,94.33333333333333,0.0,Calgary-Nose Creek,Calgary-Airdrie
1612,012,Calgary-Varsity,75.375,74.0,1.375,Calgary-Varsity,Calgary-Varsity
1613,001,Lac Ste. Anne-Parkland,33.4,158.2,8.0,West Yellowhead,Lac Ste Anne-Parkland
1614,019,Athabasca-Barrhead-Westlock,35.5,156.5,0.0,Barrhead-Westlock-Athabasca,Barrhead-Westlock-Athabasca
1615,019,Edmonton-South,75.4,59.8,2.6,Edmonton-Ellerslie,Edmonton-Ellerslie
1616,061,Highwood,56.40909090909091,125.81818181818181,4.954545454545454,Okotoks-Diamond Valley,Calgary-De Winton
1617,001,Calgary-Buffalo,94.44444444444444,52.111111111111114,3.5555555555555554,Calgary-Elbow,Calgary-Elbow
1618,033,Edmonton-City Centre,79.44444444444444,26.77777777777778,3.6666666666666665,Edmonton-City Centre,Edmonton-City Centre
1619,069,Edmonton-South West,59.22222222222222,50.111111111111114,1.5555555555555556,Edmonton-Windermere,Edmonton-Windermere
1620,015,Calgary-Currie,93.83333333333333,90.0,10.833333333333334,Calgary-Currie,Calgary-Currie
1621,071,Rimbey-Rocky Mountain House-Sundre,80.0,268.5,39.5,Mountain View-Kneehill,Rocky Mountain House-Banff Park
1622,020,Calgary-Buffalo,95.33333333333333,43.111111111111114,2.7777777777777777,Calgary-Buffalo,Calgary-Buffalo
1623,039,Edmonton-North West,137.75,73.0,5.0,Edmonton-North West,Edmonton-North West
1624,014,Edmonton-Ellerslie,115.2,76.6,2.4,Edmonton-Ellerslie,Edmonton-Ellerslie
1625,017,Edmonton-Ellerslie,115.2,76.6,2.4,Edmonton-Ellerslie,Edmonton-Ellerslie
1626,032,Olds-Didsbury-Three Hills,54.0,236.0,20.4,Mountain View-Kneehill,Olds-Three Hills-Didsbury
1627,023,Edmonton-Meadows,152.75,103.75,3.25,Edmonton-Mill Woods,Edmonton-Mill Woods
1628,012,Lethbridge-East,71.375,88.625,4.875,Lethbridge-East,Lethbridge-Little Bow
1629,045,Peace River,11.0,14.0,2.0,Peace River,Peace River
1630,030,Edmonton-Castle Downs,99.0,87.5,8.0,Edmonton-Castle Downs,Edmonton-Castledowns
1631,048,Drumheller-Stettler,25.0,61.0,9.0,Drumheller-Stettler,Drumheller-Stettler
1632,009,Calgary-Bow,89.0,107.0,6.2,Calgary-Bow,Calgary-Bow-Springbank
1633,012,Edmonton-Whitemud,143.75,89.75,10.25,Edmonton-Whitemud,Edmonton-Whitemud
1634,036,Calgary-Hays,93.5,127.66666666666667,6.166666666666667,Calgary-Hays,Calgary-Hays
1635,037,Calgary-Hays,93.5,127.66666666666667,6.166666666666667,Calgary-Hays,Calgary-Hays
1636,005,Red Deer-North,67.0,149.66666666666666,8.333333333333334,Red Deer-North,Red Deer-Lacombe
