OBJECTID,va_pop_total_est,va_visible_min_est,va_indigenous_est,VA_NUMBER,va_ndp,va_ucp,va_other,pct_visible_min,pct_indigenous
233,0.0,0.0,0.0,060,70.25,55.0,1.25,0.0,0.0
234,0.0,0.0,0.0,010,15.0,104.0,14.0,0.0,0.0
235,0.0,0.0,0.0,050,122.6,43.2,7.4,0.0,0.0
236,0.0,0.0,0.0,044,64.0,207.0,9.0,0.0,0.0
237,0.0,0.0,0.0,028,42.5,170.5,0.0,0.0,0.0
238,0.0,0.0,0.0,049,36.0,255.0,9.0,0.0,0.0
239,0.0,0.0,0.0,020,181.5,120.5,12.0,0.0,0.0
240,0.0,0.0,0.0,046,104.8,113.4,8.6,0.0,0.0
241,0.0,0.0,0.0,004,38.75,121.0,19.0,0.0,0.0
242,0.0,0.0,0.0,035,124.5,103.5,10.166666666666666,0.0,0.0
243,0.0,0.0,0.0,018,69.6,65.0,6.2,0.0,0.0
244,0.0,0.0,0.0,017,74.66666666666667,77.0,7.0,0.0,0.0
245,0.0,0.0,0.0,050,119.16666666666667,102.5,10.166666666666666,0.0,0.0
246,0.0,0.0,0.0,029,90.0,23.2,2.0,0.0,0.0
247,0.0,0.0,0.0,031,90.0,23.2,2.0,0.0,0.0
248,0.0,0.0,0.0,037,65.5,149.5,0.0,0.0,0.0
249,0.0,0.0,0.0,012,59.0,147.0,7.0,0.0,0.0
250,0.0,0.0,0.0,049,56.57142857142857,128.85714285714286,6.428571428571429,0.0,0.0
251,0.0,0.0,0.0,030,89.25,84.125,2.0,0.0,0.0
252,0.0,0.0,0.0,014,46.5,298.0,24.0,0.0,0.0
253,0.0,0.0,0.0,027,60.0,137.0,7.666666666666667,0.0,0.0
254,0.0,0.0,0.0,014,86.25,117.5,7.5,0.0,0.0
255,0.0,0.0,0.0,004,93.42857142857143,52.285714285714285,3.857142857142857,0.0,0.0
256,0.0,0.0,0.0,025,86.2,77.0,12.8,0.0,0.0
257,0.0,0.0,0.0,026,86.2,77.0,12.8,0.0,0.0
258,0.0,0.0,0.0,005,88.66666666666667,120.66666666666667,6.833333333333333,0.0,0.0
259,0.0,0.0,0.0,029,108.33333333333333,108.33333333333333,1.6666666666666667,0.0,0.0
260,0.0,0.0,0.0,028,102.8,85.0,14.4,0.0,0.0
261,0.0,0.0,0.0,005,124.33333333333333,24.0,7.666666666666667,0.0,0.0
262,0.0,0.0,0.0,030,44.0,298.0,6.0,0.0,0.0
263,0.0,0.0,0.0,034,128.0,190.5,11.5,0.0,0.0
264,0.0,0.0,0.0,032,117.66666666666667,87.5,8.166666666666666,0.0,0.0
265,0.0,0.0,0.0,028,83.66666666666667,121.5,2.8333333333333335,0.0,0.0
266,0.0,0.0,0.0,023,86.25,149.25,3.75,0.0,0.0
267,0.0,0.0,0.0,027,28.7,92.9,14.0,0.0,0.0
268,0.0,0.0,0.0,004,90.5,9.25,4.25,0.0,0.0
269,0.0,0.0,0.0,001,97.4,131.9,5.5,0.0,0.0
270,0.0,0.0,0.0,033,91.33333333333333,145.66666666666666,6.666666666666667,0.0,0.0
271,0.0,0.0,0.0,019,107.5,115.5,3.75,0.0,0.0
272,0.0,0.0,0.0,002,175.0,115.33333333333333,3.6666666666666665,0.0,0.0
273,0.0,0.0,0.0,012,28.0,121.8,24.6,0.0,0.0
274,0.0,0.0,0.0,050,162.5,133.0,6.0,0.0,0.0
275,0.0,0.0,0.0,032,93.83333333333333,63.333333333333336,3.6666666666666665,0.0,0.0
276,0.0,0.0,0.0,026,93.83333333333333,63.333333333333336,3.6666666666666665,0.0,0.0
277,0.0,0.0,0.0,062,63.142857142857146,130.14285714285714,4.428571428571429,0.0,0.0
