parent_ed_2019,VA_NUMBER,election_day_ndp,election_day_ucp,apportioned_advance_ndp,apportioned_advance_ucp,full_ndp,full_ucp,pct_advance_ndp
Innisfail-Sylvan Lake,23,45.77777777777778,132.66666666666666,40.791282303384314,95.76275989705327,86.56906008116209,228.42942656371991,47.12
Calgary-Beddington,48,105.0,99.8,80.65529880478088,71.80239043824703,185.6552988047809,171.60239043824703,43.44
Lethbridge-East,42,78.0,93.25,73.87861010830326,68.6236462093863,151.87861010830326,161.8736462093863,48.64
Bonnyville-Cold Lake-St. Paul,4,20.5,6.0,5.083086785009861,13.976528599605523,25.58308678500986,19.976528599605523,19.87
Cardston-Siksika,55,8.142857142857142,104.71428571428571,8.668718799342892,36.16166127051468,16.811575942200037,140.87594698480038,51.56
Calgary-Mountain View,12,115.8,59.4,81.95992462311557,39.177889447236176,197.75992462311558,98.57788944723617,41.44
Calgary-Mountain View,8,132.2,78.0,98.3331972361809,47.004522613065326,230.53319723618088,125.00452261306532,42.65
Spruce Grove-Stony Plain,17,112.625,147.125,120.65351069424965,164.84835203366063,233.27851069424963,311.9733520336606,51.72
Bonnyville-Cold Lake-St. Paul,37,47.666666666666664,197.33333333333334,46.99457593688362,129.21696252465483,94.66124260355028,326.5502958579882,49.65
Drumheller-Stettler,23,4.0,211.0,22.403846153846157,103.46153846153845,26.403846153846157,314.46153846153845,84.85
Spruce Grove-Stony Plain,34,71.83333333333333,99.33333333333333,79.50667660121552,108.62961664329126,151.34000993454885,207.9629499766246,52.54
Calgary-Bhullar-McCall,3,160.0,116.0,80.14607568841112,56.93947872183772,240.14607568841112,172.93947872183773,33.37
Calgary-Hays,15,72.8,94.4,61.4634183049572,74.31285862101403,134.2634183049572,168.71285862101405,45.78
Lethbridge-East,10,97.4,131.9,98.92184115523467,91.885559566787,196.32184115523467,223.78555956678701,50.39
Cypress-Medicine Hat,38,105.66666666666667,184.33333333333334,59.402560455192024,93.16388410571236,165.0692271218587,277.4972174390457,35.99
Calgary-Lougheed,1,116.0,142.2,71.17031926090516,111.63201964682493,187.17031926090516,253.8320196468249,38.02
Edmonton-South West,34,72.125,63.375,62.40250083084081,45.98849285476903,134.5275008308408,109.36349285476902,46.39
Edmonton-Decore,41,89.75,78.0,55.48239153722549,41.600562399571515,145.23239153722548,119.60056239957152,38.2
Edmonton-Decore,37,82.0,72.5,51.10002678093197,38.31467595072308,133.10002678093196,110.81467595072309,38.39
Spruce Grove-Stony Plain,28,91.5,112.16666666666667,94.60288101916784,129.2554932211314,186.10288101916785,241.42215988779805,50.83
Calgary-Peigan,14,96.5,166.5,67.30783565533766,83.43464371284053,163.80783565533767,249.9346437128405,41.09
Taber-Warner,39,22.5,131.5,22.965394220478053,91.3487929599239,45.46539422047805,222.8487929599239,50.51
Calgary-Currie,32,99.2,57.4,50.47084957131723,33.93203429462198,149.67084957131723,91.33203429462198,33.72
Calgary-Peigan,18,80.8,134.0,54.97233117401722,68.14357973200816,135.7723311740172,202.14357973200816,40.49
Edmonton-Ellerslie,32,141.25,110.75,79.06542056074767,39.51976994967649,220.31542056074767,150.2697699496765,35.89
Calgary-Acadia,37,135.25,120.5,104.70577231427045,107.53073222875469,239.95577231427046,228.0307322287547,43.64
Calgary-Foothills,5,73.75,77.5,77.84414121181774,72.31522283425139,151.59414121181774,149.8152228342514,51.35
Edmonton-McClung,31,70.6,50.8,62.43553056585714,33.345424093791124,133.03553056585713,84.14542409379112,46.93
Calgary-Shaw,15,54.75,63.0,26.343404608827566,34.6708805894676,81.09340460882757,97.6708805894676,32.49
Calgary-North East,53,88.0,63.5,82.07816377171214,61.38632133995037,170.07816377171213,124.88632133995037,48.26
Calgary-East,31,40.57142857142857,49.857142857142854,20.247293340596485,23.749353125425575,60.818721912025055,73.60649598256843,33.29
Calgary-Glenmore,24,104.16666666666667,124.5,110.28999944656594,107.44258121644808,214.45666611323261,231.94258121644808,51.43
Edmonton-Gold Bar,6,160.8,91.4,158.44361420243774,49.11685214626392,319.24361420243775,140.51685214626394,49.63
Peace River,44,19.454545454545453,38.72727272727273,10.560576314636638,41.785407168237796,30.01512176918209,80.51267989551053,35.18
Lacombe-Ponoka,2,28.6,203.6,58.92348315697505,132.5440248519561,87.52348315697506,336.1440248519561,67.32
Calgary-South East,41,76.83333333333333,113.83333333333333,73.79998246997982,104.18231220965903,150.63331580331317,218.01564554299236,48.99
Sherwood Park,5,158.0,132.0,124.20784712976742,88.07424230558384,282.2078471297674,220.07424230558382,44.01
Calgary-Elbow,26,95.2,75.2,91.03716478726427,81.6072775514072,186.23716478726428,156.8072775514072,48.88
Edmonton-Riverview,18,150.2,71.0,69.17130628954223,22.659211016002974,219.37130628954222,93.65921101600297,31.53
Edmonton-Castle Downs,13,113.33333333333333,90.0,90.96554157356226,58.348034027206076,204.2988749068956,148.34803402720607,44.53
Edmonton-South West,19,101.8,78.2,82.8963110667996,61.09172482552343,184.69631106679958,139.29172482552343,44.88
Vermilion-Lloydminster-Wainwright,26,30.357142857142858,157.71428571428572,25.23666204808091,87.53849615038499,55.59380490522376,245.2527818646707,45.39
Red Deer-North,25,59.75,111.5,53.75129829663481,70.07945575405068,113.50129829663481,181.57945575405068,47.36
