row_key,timestamp
stermere merging with Calgary|full_corpus,2026-05-10T09:00:29.266851
"EBC-2025-2-0267|Red Deer hybrid ridings (Blackfalds, Sylvan Lake, Innisfail)|full_corpus",2026-05-10T09:53:01.232716
EBC-2025-2-0349|St. Albert merging with Sturgeon County|full_corpus,2026-05-10T09:53:03.643993
EBC-2025-2-0365|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:53:34.272065
EBC-2025-2-0268|Airdrie 4-way split|full_corpus,2026-05-10T09:53:47.747106
EBC-2025-2-0367|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:53:57.526980
EBC-2025-2-0268|Chestermere merging with Calgary|full_corpus,2026-05-10T09:54:19.218064
"EBC-2025-2-0371|Red Deer hybrid ridings (Blackfalds, Sylvan Lake, Innisfail)|full_corpus",2026-05-10T09:54:30.105808
EBC-2025-2-0274|Chestermere merging with Calgary|full_corpus,2026-05-10T09:54:49.403256
EBC-2025-2-0374|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:54:52.784191
EBC-2025-2-0278|Chestermere merging with Calgary|full_corpus,2026-05-10T09:55:09.925259
EBC-2025-2-0376|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:55:15.854050
EBC-2025-2-0283|Chestermere merging with Calgary|full_corpus,2026-05-10T09:55:35.764811
EBC-2025-2-0381|Chestermere merging with Calgary|full_corpus,2026-05-10T09:55:52.214790
EBC-2025-2-0284|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:56:01.174066
EBC-2025-2-0383|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:56:11.225945
"EBC-2025-2-0286|Red Deer hybrid ridings (Blackfalds, Sylvan Lake, Innisfail)|full_corpus",2026-05-10T09:56:32.286294
EBC-2025-2-0384|Chestermere merging with Calgary|full_corpus,2026-05-10T09:56:36.713326
EBC-2025-2-0293|Chestermere merging with Calgary|full_corpus,2026-05-10T09:56:52.498356
EBC-2025-2-0387|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:57:07.359154
"EBC-2025-2-0327|Red Deer hybrid ridings (Blackfalds, Sylvan Lake, Innisfail)|full_corpus",2026-05-10T09:57:20.432107
"EBC-2025-2-0392|Red Deer hybrid ridings (Blackfalds, Sylvan Lake, Innisfail)|full_corpus",2026-05-10T09:57:37.814786
EBC-2025-2-0328|Airdrie 4-way split|full_corpus,2026-05-10T09:57:48.687713
"EBC-2025-2-0399|Red Deer hybrid ridings (Blackfalds, Sylvan Lake, Innisfail)|full_corpus",2026-05-10T09:58:01.131626
EBC-2025-2-0328|Calgary-Nolan Hill-Cochrane hybrid|full_corpus,2026-05-10T09:58:10.973266
"EBC-2025-2-0402|Red Deer hybrid ridings (Blackfalds, Sylvan Lake, Innisfail)|full_corpus",2026-05-10T09:58:27.433803
"EBC-2025-2-0334|Red Deer hybrid ridings (Blackfalds, Sylvan Lake, Innisfail)|full_corpus",2026-05-10T09:58:35.193754
EBC-2025-2-0403|Olds-Three Hills-Didsbury extending to Airdrie|full_corpus,2026-05-10T09:58:50.988110
EBC-2025-2-0338|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:58:56.849405
"EBC-2025-2-0408|Red Deer hybrid ridings (Blackfalds, Sylvan Lake, Innisfail)|full_corpus",2026-05-10T09:59:16.337614
EBC-2025-2-0340|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:59:25.984170
EBC-2025-2-0409|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:59:46.734689
EBC-2025-2-0349|St. Albert merging with Sturgeon County|full_corpus,2026-05-10T09:59:49.930177
EBC-2025-2-0420|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T10:00:08.716396
EBC-2025-2-0365|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T10:00:15.873626
"EBC-2025-2-0421|Red Deer hybrid ridings (Blackfalds, Sylvan Lake, Innisfail)|full_corpus",2026-05-10T10:00:40.125762
EBC-2025-2-0367|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T10:00:45.113986
"EBC-2025-2-0423|Red Deer hybrid ridings (Blackfalds, Sylvan Lake, Innisfail)|full_corpus",2026-05-10T10:00:59.637350
"EBC-2025-2-0371|Red Deer hybrid ridings (Blackfalds, Sylvan Lake, Innisfail)|full_corpus",2026-05-10T10:01:05.461397
EBC-2025-2-0433|Chestermere merging with Calgary|full_corpus,2026-05-10T10:01:24.478738
