plan_idx,n,eg,mm,ndp_seats,pop_min,pop_max,attempts,accepted
135,87,0.008247420380886822,-0.01852014603739527,31,7737.617424242423,12797.904545454547,1127,500
136,87,0.01917706469903335,-0.017023767254890854,30,7739.450757575756,12882.471428571429,1132,500
137,87,0.003935787224361095,-0.022566200691719107,31,7743.61618104118,12773.229365079369,1032,500
138,87,0.003456221198156651,-0.020383501282425,31,7773.141414141413,12828.89545454545,1066,500
139,87,0.004495652678208997,-0.01936468392240631,31,7732.823809523808,12851.645346320347,1029,500
140,87,0.004874844419859007,-0.022845909484941473,31,7748.882142857145,12881.40793650794,1086,500
141,87,0.010103229375315128,-0.020866982948472723,31,7760.46212121212,12836.952380952382,1082,500
142,87,0.008902083770147414,-0.019489772693303875,31,7799.919191919191,12817.726984126986,1100,500
143,87,0.008213962286035551,-0.01737755354891868,31,7743.795238095236,12849.416666666662,1153,500
144,87,0.008161544604101586,-0.020648569089315616,31,7786.522619047621,12839.367857142859,1104,500
145,87,0.0068700621428349345,-0.0211456658689102,31,7795.840476190476,12816.128571428577,1188,500
146,87,0.006071528945713061,-0.0153930327036928,31,7739.892424242424,12851.894444444453,1144,500
147,87,0.007153340679243969,-0.015126117952373508,31,7740.073809523809,12869.690873015868,1148,500
148,87,0.006603512653851444,-0.01558441173224312,31,7762.740476190475,12843.0,1190,500
149,87,0.006881214841118758,-0.015486890003833631,31,7762.740476190475,12793.154761904765,1133,500
