turn_id,timestamp,rows_emitted
hansard_r2-01347,2026-05-10T06:40:05.263492,0
hansard_r2-01371,2026-05-10T06:40:20.006469,0
hansard_r2-01385,2026-05-10T06:40:40.256938,1
hansard_r2-01410,2026-05-10T06:41:07.903737,2
hansard_r2-01421,2026-05-10T06:41:33.865954,1
hansard_r2-01422,2026-05-10T06:41:56.368166,1
hansard_r2-01423,2026-05-10T06:42:19.360743,1
hansard_r2-01424,2026-05-10T06:42:46.112975,1
hansard_r2-01425,2026-05-10T06:43:09.693887,1
hansard_r2-01426,2026-05-10T06:43:44.879024,1
hansard_r2-01427,2026-05-10T06:44:20.681161,1
hansard_r2-01433,2026-05-10T06:44:51.059457,1
hansard_r2-01452,2026-05-10T06:45:07.536863,0
hansard_r2-01453,2026-05-10T06:45:37.055175,0
hansard_r2-01454,2026-05-10T06:46:21.778320,0
hansard_r2-01456,2026-05-10T06:46:52.455263,1
hansard_r2-01462,2026-05-10T06:47:25.371128,2
hansard_r2-01472,2026-05-10T06:48:13.392016,2
hansard_r2-01473,2026-05-10T06:48:50.918706,2
hansard_r2-01475,2026-05-10T06:49:13.774558,1
hansard_r2-01477,2026-05-10T06:49:41.200296,1
hansard_r2-01478,2026-05-10T06:50:08.448660,1
hansard_r2-01479,2026-05-10T06:50:59.015259,2
hansard_r2-01489,2026-05-10T06:51:40.145785,1
hansard_r2-01497,2026-05-10T06:52:02.616920,2
hansard_r2-01498,2026-05-10T06:52:43.224434,0
hansard_r2-01499,2026-05-10T06:53:10.859160,1
hansard_r2-01505,2026-05-10T06:53:52.467504,1
hansard_r2-01506,2026-05-10T06:54:16.794092,1
hansard_r2-01508,2026-05-10T06:54:43.883012,1
hansard_r2-01513,2026-05-10T06:55:01.277746,1
hansard_r2-01520,2026-05-10T06:55:36.053322,2
hansard_r2-01535,2026-05-10T06:56:37.804403,2
hansard_r2-01548,2026-05-10T06:57:55.528387,2
hansard_r2-01571,2026-05-10T06:58:35.129770,1
hansard_r2-01574,2026-05-10T06:59:00.931523,1
hansard_r2-01581,2026-05-10T06:59:21.033524,1
hansard_r2-01591,2026-05-10T06:59:42.795424,1
hansard_r2-01597,2026-05-10T07:00:08.070434,2
hansard_r2-01598,2026-05-10T07:00:35.361781,2
hansard_r2-01601,2026-05-10T07:01:12.703026,2
hansard_r2-01602,2026-05-10T07:02:03.051509,3
hansard_r2-01604,2026-05-10T07:03:13.383189,2
hansard_r2-01607,2026-05-10T07:03:45.990428,2
hansard_r2-01609,2026-05-10T07:04:41.714571,2
hansard_r2-01610,2026-05-10T07:05:00.981358,0
hansard_r2-01612,2026-05-10T07:05:38.246474,0
hansard_r2-01613,2026-05-10T07:06:05.797023,1
hansard_r2-01614,2026-05-10T07:06:34.962340,1
hansard_r2-01616,2026-05-10T07:06:55.600336,1
hansard_r2-01617,2026-05-10T07:07:31.638038,1
hansard_r2-01622,2026-05-10T07:08:03.517952,1
hansard_r2-01623,2026-05-10T07:08:26.209070,1
hansard_r2-01625,2026-05-10T07:09:00.331438,1
hansard_r2-01631,2026-05-10T07:09:19.512543,1
hansard_r2-01751,2026-05-10T07:09:41.621648,1
hansard_r2-01769,2026-05-10T07:09:59.891383,0
hansard_r2-01820,2026-05-10T07:10:15.882421,0
hansard_r2-01840,2026-05-10T07:10:36.811201,0
hansard_r2-01868,2026-05-10T07:10:54.411251,0
hansard_r2-01907,2026-05-10T07:11:19.096294,0
